hotel_id,dia_del_ano,distancia,es_centrico,mes,target
9239,313,3.61,1,11,4.56
580,178,2.28,1,6,9.75
1160,214,3.44,1,8,6.34
9801,314,0.0,1,11,4.8
1321,283,3.23,1,10,4.79
7845,67,2.72,1,3,6.12
4433,22,5.04,0,1,7.87
1705,19,2.78,1,1,9.29
8137,260,3.05,1,9,6.16
3691,333,3.24,1,12,3.77
5739,221,4.25,0,8,8.27
7825,156,2.18,1,6,8.81
3732,11,3.44,1,1,6.88
907,14,3.41,1,1,9.09
3215,274,4.12,0,10,5.47
9964,195,0.87,1,7,10.0
297,283,3.07,1,10,4.58
7900,27,2.83,1,1,7.69
6343,194,1.36,1,7,9.37
2052,221,16.98,0,8,2.59
6994,282,2.99,1,10,3.71
2258,60,2.77,1,2,7.11
7176,61,4.73,0,3,6.84
6025,181,2.12,1,7,8.64
3173,176,2.89,1,6,7.57
7153,30,2.97,1,1,7.29
3903,119,1.24,1,4,5.3
1508,302,5.17,0,11,3.78
165,117,3.36,1,4,7.49
6768,275,3.0,1,10,6.45
9307,24,3.79,1,1,8.89
245,128,1.06,1,5,8.89
932,40,3.03,1,2,6.64
929,65,3.0,1,3,5.53
7186,93,3.07,1,4,4.28
4631,23,3.6,1,1,9.25
5147,180,2.93,1,6,8.02
9870,336,4.78,0,12,2.11
4002,150,3.85,1,5,6.54
2126,311,15.96,0,11,2.1
6518,246,0.62,1,9,7.12
2006,337,20.23,0,12,1.55
1259,40,2.19,1,2,7.05
4100,279,3.03,1,10,6.08
3373,254,2.26,1,9,5.83
5849,113,3.38,1,4,5.17
7267,155,1.95,1,6,9.57
6012,283,1.91,1,10,4.98
4796,335,17.79,0,12,1.06
4002,270,3.85,1,9,6.69
4384,164,1.41,1,6,8.2
8871,258,3.81,1,9,5.73
1711,28,3.27,1,1,8.57
5680,211,4.74,0,8,10.0
7967,144,2.81,1,5,7.86
1286,105,1.78,1,4,6.12
2247,267,1.08,1,9,7.28
3778,157,1.39,1,6,7.99
9060,108,2.54,1,4,5.61
2012,191,26.55,0,7,1.12
2326,19,3.13,1,1,8.38
3852,358,2.31,1,12,3.81
7214,333,1.17,1,12,4.22
7435,59,2.92,1,2,7.36
349,256,3.75,1,9,6.18
554,139,2.32,1,5,6.15
4555,302,2.42,1,11,4.28
6295,154,2.26,1,6,10.0
1385,31,4.09,0,2,7.66
4573,313,2.03,1,11,4.64
6291,254,1.28,1,9,8.6
309,196,2.75,1,7,7.72
6303,228,2.55,1,8,7.58
728,115,1.5,1,4,7.41
3371,195,14.81,0,7,5.11
3022,338,5.49,0,12,3.03
7063,273,3.65,1,10,4.07
857,339,1.8,1,12,4.21
5000,17,2.5,1,1,8.79
8873,179,3.19,1,6,7.4
426,312,2.83,1,11,4.39
5509,135,1.68,1,5,7.22
9683,111,3.32,1,4,5.59
449,175,4.73,0,6,6.88
7112,219,4.08,0,8,9.46
936,56,20.8,0,2,3.52
9066,199,29.05,0,7,0.0
4710,274,4.65,0,10,4.85
7595,218,2.07,1,8,8.71
9382,291,4.7,0,10,4.28
8502,134,3.85,1,5,6.53
2664,196,2.78,1,7,8.8
7657,122,5.07,0,5,8.26
2161,8,2.82,1,1,9.1
4599,350,3.81,1,12,4.43
4496,44,1.32,1,2,8.5
4095,278,0.97,1,10,4.69
4847,173,22.97,0,6,2.18
9357,203,4.88,0,7,9.34
633,316,3.5,1,11,3.16
4494,186,1.92,1,7,10.0
4404,338,3.98,1,12,5.79
4105,335,3.43,1,12,4.6
9962,7,3.08,1,1,9.49
2037,158,4.03,0,6,8.44
9314,339,5.42,0,12,4.25
5260,136,3.71,1,5,6.29
2930,228,10.01,0,8,7.13
7582,9,3.62,1,1,8.57
7208,5,4.2,0,1,8.03
7643,19,27.68,0,1,2.01
5878,246,1.24,1,9,6.17
9120,112,3.42,1,4,5.13
6695,30,0.0,1,1,9.1
9496,41,2.85,1,2,6.66
4530,313,2.61,1,11,4.79
9035,161,3.25,1,6,6.75
1050,226,3.14,1,8,9.55
